Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load,Class
dish_1550710318,pineapple,46,5.98,66,3.9468,1
dish_1550710318,carrot,22,2.2,30,0.66,1
dish_1550710318,chicken,91,0,0,0,1
dish_1550710342,pineapple,46,5.98,66,3.9468,1
dish_1550710342,carrot,22,2.2,30,0.66,1
dish_1550710342,chicken,91,0,0,0,1
dish_1550710402,cauliflower,75,3.75,15,0.5625,1
dish_1550710448,tofu,67,1.273,15,0.19095,1
dish_1550710507,tomatoes,60,4.08,30,1.224,1
dish_1550710542,tofu,67,1.273,15,0.19095,1
dish_1550710542,tomatoes,60,4.08,30,1.224,1
dish_1550710542,cauliflower,75,3.75,15,0.5625,1
dish_1550710577,tofu,67,1.273,15,0.19095,1
dish_1550710577,tomatoes,60,4.08,30,1.224,1
dish_1550710577,cauliflower,75,3.75,15,0.5625,1
dish_1550710664,cucumbers,71,1.42,15,0.213,1
dish_1550710845,pineapple,36,4.68,66,3.0888,1
dish_1550710917,bell peppers,40,3.6,15,0.54,1
dish_1550711017,beef,29,0,0,0,1
dish_1550711066,bell peppers,40,3.6,15,0.54,1
dish_1550711066,pineapple,36,4.68,66,3.0888,1
dish_1550711066,beef,29,0,0,0,1
dish_1550711094,bell peppers,40,3.6,15,0.54,1
dish_1550711094,pineapple,36,4.68,66,3.0888,1
dish_1550711094,beef,29,0,0,0,1
dish_1550711129,scrambled eggs,82,1.312,0,0,1
dish_1550711187,potatoes,82,13.94,70,9.758,1
dish_1550711244,oatmeal,174,20.88,60,12.528,2
dish_1550711314,oatmeal,174,20.88,60,12.528,3
dish_1550711314,potatoes,82,13.94,70,9.758,3
dish_1550711314,scrambled eggs,82,1.312,0,0,3
dish_1550711385,scrambled eggs,82,1.312,0,0,3
dish_1550711385,potatoes,82,13.94,70,9.758,3
dish_1550711385,oatmeal,174,20.88,60,12.528,3
dish_1550711488,tofu,90,1.71,15,0.2565,1
dish_1550711598,cauliflower,91,4.55,15,0.6825,1
dish_1550711688,cucumbers,77,1.54,15,0.231,1
dish_1550711746,cauliflower,91,4.55,15,0.6825,1
dish_1550711746,cucumbers,77,1.54,15,0.231,1
dish_1550711746,tofu,90,1.71,15,0.2565,1
dish_1550711788,tofu,90,1.71,15,0.2565,1
dish_1550711788,cucumbers,77,1.54,15,0.231,1
dish_1550711788,cauliflower,91,4.55,15,0.6825,1
dish_1550711845,bell peppers,67,6.03,15,0.9045,1
dish_1550711973,mixed greens,59,3.127,15,0.46905,1
dish_1550712024,tomatoes,88,5.984,30,1.7952,1
dish_1550712079,bell peppers,67,6.03,15,0.9045,1
dish_1550712079,mixed greens,59,3.127,15,0.46905,1
dish_1550712079,tomatoes,88,5.984,30,1.7952,1
dish_1550712143,bell peppers,67,6.03,15,0.9045,1
dish_1550712143,mixed greens,59,3.127,15,0.46905,1
dish_1550712143,tomatoes,88,5.984,30,1.7952,1
dish_1550712315,mixed greens,29,1.537,15,0.23055,1
dish_1550712369,chicken,90,0,0,0,1
dish_1550712403,cheese,25,0.325,0,0,1
dish_1550712459,cheese,25,0.325,0,0,1
dish_1550712459,chicken,90,0,0,0,1
dish_1550712459,mixed greens,29,1.537,15,0.23055,1
dish_1550712486,cheese,25,0.325,0,0,1
dish_1550712486,chicken,90,0,0,0,1
dish_1550712486,mixed greens,29,1.537,15,0.23055,1
dish_1550712556,cucumbers,63,1.26,15,0.189,1
dish_1550712585,bell peppers,52,4.68,15,0.702,1
dish_1550712681,mixed greens,36,1.908,15,0.2862,1
dish_1550712729,sausage,92,3.864,0,0,1
dish_1550712913,tofu,64,1.216,15,0.1824,1
dish_1550712961,tomatoes,97,6.596,30,1.9788,1
dish_1550713388,chicken,47,0,0,0,1
dish_1550713423,cucumbers,82,1.64,15,0.246,1
dish_1550713462,tofu,61,1.159,15,0.17385,1
dish_1550713503,cucumbers,82,1.64,15,0.246,1
dish_1550713503,tofu,61,1.159,15,0.17385,1
dish_1550713503,chicken,47,0,0,0,1
dish_1550713566,cucumbers,82,1.64,15,0.246,1
dish_1550713566,tofu,61,1.159,15,0.17385,1
dish_1550713566,chicken,47,0,0,0,1
dish_1550769483,bacon,21,0.294,0,0,1
dish_1550769725,potatoes,66,11.22,70,7.854,1
dish_1550769827,cantaloupe,105,8.4,65,5.46,1
dish_1550769882,bacon,21,0.294,0,0,2
dish_1550769882,potatoes,66,11.22,70,7.854,2
dish_1550769882,cantaloupe,105,8.4,65,5.46,2
dish_1550769948,bacon,21,0.294,0,0,2
dish_1550769948,potatoes,66,11.22,70,7.854,2
dish_1550769948,cantaloupe,105,8.4,65,5.46,2
dish_1550770222,broccoli,64,4.48,15,0.672,1
dish_1550770265,tomatoes,61,4.148,30,1.2444,1
dish_1550770447,sausage,88,3.696,0,0,1
dish_1550770482,broccoli,64,4.48,15,0.672,1
dish_1550770482,sausage,88,3.696,0,0,1
dish_1550770482,tomatoes,61,4.148,30,1.2444,1
dish_1550770511,broccoli,64,4.48,15,0.672,1
dish_1550770511,sausage,88,3.696,0,0,1
dish_1550770511,tomatoes,61,4.148,30,1.2444,1
dish_1550770616,scrambled eggs,85,1.36,0,0,1
dish_1550770699,cucumbers,64,1.28,15,0.192,1
dish_1550770751,cantaloupe,107,8.56,65,5.564,1
dish_1550770802,scrambled eggs,85,1.36,0,0,1
dish_1550770802,cucumbers,64,1.28,15,0.192,1
dish_1550770802,cantaloupe,107,8.56,65,5.564,1
dish_1550770866,cantaloupe,107,8.56,65,5.564,1
dish_1550770866,cucumbers,64,1.28,15,0.192,1
dish_1550770866,scrambled eggs,85,1.36,0,0,1
dish_1550771191,bacon,15,0.21,0,0,1
dish_1550771267,broccoli,58,4.06,15,0.609,1
dish_1550771330,scrambled eggs,69,1.104,0,0,1
dish_1550771387,broccoli,58,4.06,15,0.609,1
dish_1550771387,bacon,15,0.21,0,0,1
dish_1550771387,scrambled eggs,69,1.104,0,0,1
dish_1550771421,bacon,15,0.21,0,0,1
dish_1550771421,broccoli,58,4.06,15,0.609,1
dish_1550771421,scrambled eggs,69,1.104,0,0,1
dish_1550771487,cucumbers,56,1.12,15,0.168,1
dish_1550771796,tomatoes,42,2.856,30,0.8568,1
dish_1550771869,berries,66,9.24,35,3.234,1
dish_1550771938,bell peppers,36,3.24,15,0.486,1
dish_1550771984,tomatoes,42,2.856,30,0.8568,1
dish_1550771984,berries,66,9.24,35,3.234,1
dish_1550771984,bell peppers,36,3.24,15,0.486,1
dish_1550772027,bell peppers,36,3.24,15,0.486,1
dish_1550772027,tomatoes,42,2.856,30,0.8568,1
dish_1550772027,berries,66,9.24,35,3.234,1
dish_1550772088,berries,70,9.8,35,3.43,1
dish_1550772168,scrambled eggs,91,1.456,0,0,1
dish_1550772199,potatoes,79,13.43,70,9.401,1
dish_1550772270,berries,70,9.8,35,3.43,2
dish_1550772270,scrambled eggs,91,1.456,0,0,2
dish_1550772270,potatoes,79,13.43,70,9.401,2
dish_1550772314,scrambled eggs,91,1.456,0,0,2
dish_1550772314,potatoes,79,13.43,70,9.401,2
dish_1550772314,berries,70,9.8,35,3.43,2
dish_1550772367,bacon,30,0.42,0,0,1
dish_1550772454,broccoli,65,4.55,15,0.6825,1
dish_1550772505,cantaloupe,131,10.48,65,6.812,1
dish_1550772551,bacon,30,0.42,0,0,1
dish_1550772551,broccoli,65,4.55,15,0.6825,1
dish_1550772551,cantaloupe,131,10.48,65,6.812,1
dish_1550772617,broccoli,65,4.55,15,0.6825,1
dish_1550772617,cantaloupe,131,10.48,65,6.812,1
dish_1550772617,bacon,30,0.42,0,0,1
dish_1550772753,sausage,102,4.284,0,0,1
dish_1550772809,berries,95,13.3,35,4.655,1
dish_1550772960,tomatoes,57,3.876,30,1.1628,1
dish_1550773038,broccoli,59,4.13,15,0.6195,1
dish_1550773349,bacon,12,0.168,0,0,1
dish_1550773394,bell peppers,50,4.5,15,0.675,1
dish_1550773430,scrambled eggs,61,0.976,0,0,1
dish_1550773506,bell peppers,50,4.5,15,0.675,1
dish_1550773506,scrambled eggs,61,0.976,0,0,1
dish_1550773506,bacon,12,0.168,0,0,1
dish_1550773591,bell peppers,50,4.5,15,0.675,1
dish_1550773591,scrambled eggs,61,0.976,0,0,1
dish_1550773591,bacon,12,0.168,0,0,1
dish_1550773771,potatoes,52,8.84,70,6.188,1
dish_1550773839,berries,79,11.06,35,3.871,1
dish_1550774815,berries,57,7.98,35,2.793,1
dish_1550775273,broccoli,57,3.99,15,0.5985,1
dish_1550776767,bacon,15,0.21,0,0,1
dish_1550777124,cucumbers,53,1.06,15,0.159,1
dish_1550777181,berries,98,13.72,35,4.802,1
dish_1550777319,cantaloupe,75,6,65,3.9,1
dish_1550777646,broccoli,53,3.71,15,0.5565,1
dish_1550777713,cantaloupe,62,4.96,65,3.224,1
dish_1550777791,potatoes,65,11.05,70,7.735,1
dish_1550777827,cantaloupe,62,4.96,65,3.224,2
dish_1550777827,broccoli,53,3.71,15,0.5565,2
dish_1550777827,potatoes,65,11.05,70,7.735,2
dish_1550777860,cantaloupe,62,4.96,65,3.224,2
dish_1550777860,broccoli,53,3.71,15,0.5565,2
dish_1550777860,potatoes,65,11.05,70,7.735,2
dish_1550777919,scrambled eggs,78,1.248,0,0,1
dish_1550778007,cucumbers,61,1.22,15,0.183,1
dish_1550778058,tomatoes,45,3.06,30,0.918,1
dish_1550778118,scrambled eggs,78,1.248,0,0,1
dish_1550778118,cucumbers,61,1.22,15,0.183,1
dish_1550778118,tomatoes,45,3.06,30,0.918,1
dish_1550778172,scrambled eggs,78,1.248,0,0,1
dish_1550778172,cucumbers,61,1.22,15,0.183,1
dish_1550778172,tomatoes,45,3.06,30,0.918,1
dish_1550778312,bacon,15,0.21,0,0,1
dish_1550778355,bell peppers,41,3.69,15,0.5535,1
dish_1550778401,cucumbers,61,1.22,15,0.183,1
dish_1550778435,bacon,15,0.21,0,0,1
dish_1550778435,bell peppers,41,3.69,15,0.5535,1
dish_1550778435,cucumbers,61,1.22,15,0.183,1
dish_1550778469,bell peppers,41,3.69,15,0.5535,1
dish_1550778469,cucumbers,61,1.22,15,0.183,1
dish_1550778469,bacon,15,0.21,0,0,1
dish_1550778583,potatoes,88,14.96,70,10.472,2
dish_1550778619,berries,68,9.52,35,3.332,1
dish_1550778856,bacon,12,0.168,0,0,1
dish_1550778981,cucumbers,69,1.38,15,0.207,1
dish_1550779153,broccoli,106,7.42,15,1.113,1
dish_1550779219,berries,76,10.64,35,3.724,1
dish_1550779282,sausage,108,4.536,0,0,1
dish_1550779336,broccoli,106,7.42,15,1.113,1
dish_1550779336,berries,76,10.64,35,3.724,1
dish_1550779336,sausage,108,4.536,0,0,1
dish_1550779388,broccoli,106,7.42,15,1.113,1
dish_1550779388,berries,76,10.64,35,3.724,1
dish_1550779388,sausage,108,4.536,0,0,1
dish_1550780717,potatoes,73,12.41,70,8.687,1
dish_1550781280,broccoli,68,4.76,15,0.714,1
dish_1550781317,tomatoes,43,2.924,30,0.8772,1
dish_1550781347,potatoes,73,12.41,70,8.687,2
dish_1550781347,broccoli,68,4.76,15,0.714,2
dish_1550781347,tomatoes,43,2.924,30,0.8772,2
dish_1550781372,tomatoes,43,2.924,30,0.8772,2
dish_1550781372,broccoli,68,4.76,15,0.714,2
dish_1550781372,potatoes,73,12.41,70,8.687,2
dish_1550785292,mixed greens,45,2.385,15,0.35775,1
dish_1550785404,carrot,91,9.1,30,2.73,1
dish_1550785481,fish,119,0,0,0,1
dish_1550785526,carrot,91,9.1,30,2.73,1
dish_1550785526,mixed greens,45,2.385,15,0.35775,1
dish_1550785526,fish,119,0,0,0,1
dish_1550785599,carrot,91,9.1,30,2.73,1
dish_1550785599,mixed greens,45,2.385,15,0.35775,1
dish_1550785599,fish,119,0,0,0,1
dish_1550785697,mixed greens,23,1.219,15,0.18285,1
dish_1550785808,white rice,81,22.68,70,15.876,2
dish_1550785876,beef,58,0,0,0,1
dish_1550785915,beef,58,0,0,0,2
dish_1550785915,white rice,81,22.68,70,15.876,2
dish_1550785915,mixed greens,23,1.219,15,0.18285,2
dish_1550785975,mixed greens,23,1.219,15,0.18285,2
dish_1550785975,white rice,81,22.68,70,15.876,2
dish_1550785975,beef,58,0,0,0,2
dish_1550788191,fish,71,0,0,0,1
dish_1550788264,apple,153,21.42,36,7.7112,1
dish_1550788398,carrot,53,5.3,30,1.59,1
dish_1550788505,apple,153,21.42,36,7.7112,1
dish_1550788505,fish,71,0,0,0,1
dish_1550788505,carrot,53,5.3,30,1.59,1
dish_1550788591,apple,153,21.42,36,7.7112,1
dish_1550788591,fish,71,0,0,0,1
dish_1550788591,carrot,53,5.3,30,1.59,1
dish_1550788827,fish,40,0,0,0,1
dish_1550788957,tomatoes,76,5.168,30,1.5504,1
dish_1550789186,broccoli,43,3.01,15,0.4515,1
dish_1550789255,fish,40,0,0,0,1
dish_1550789255,tomatoes,76,5.168,30,1.5504,1
dish_1550789255,broccoli,43,3.01,15,0.4515,1
dish_1550789321,fish,40,0,0,0,1
dish_1550789321,tomatoes,76,5.168,30,1.5504,1
dish_1550789321,broccoli,43,3.01,15,0.4515,1
dish_1550789601,fish,69,0,0,0,1
dish_1550789705,beef,90,0,0,0,1
dish_1550789814,white rice,82,22.96,70,16.072,2
dish_1550789860,fish,69,0,0,0,2
dish_1550789860,beef,90,0,0,0,2
dish_1550789860,white rice,82,22.96,70,16.072,2
dish_1550790042,white rice,82,22.96,70,16.072,2
dish_1550790042,fish,69,0,0,0,2
dish_1550790042,beef,90,0,0,0,2
dish_1550790252,fish,51,0,0,0,1
dish_1550790347,carrot,43,4.3,30,1.29,1
dish_1550790442,mixed greens,22,1.166,15,0.1749,1
dish_1550790511,fish,51,0,0,0,1
dish_1550790511,mixed greens,22,1.166,15,0.1749,1
dish_1550790511,carrot,43,4.3,30,1.29,1
dish_1550790554,fish,51,0,0,0,1
dish_1550790554,carrot,43,4.3,30,1.29,1
dish_1550790554,mixed greens,22,1.166,15,0.1749,1
dish_1550790874,beef,35,0,0,0,1
dish_1550791105,berries,84,11.76,35,4.116,1
dish_1550791160,apple,78,10.92,36,3.9312,1
dish_1550791214,beef,35,0,0,0,1
dish_1550791214,berries,84,11.76,35,4.116,1
dish_1550791214,apple,78,10.92,36,3.9312,1
dish_1550791302,apple,78,10.92,36,3.9312,1
dish_1550791302,beef,35,0,0,0,1
dish_1550791302,berries,84,11.76,35,4.116,1
dish_1550791644,apple,113,15.82,36,5.6952,1
dish_1550791701,broccoli,66,4.62,15,0.693,1
dish_1550791822,white rice,96,26.88,70,18.816,2
dish_1550791884,white rice,96,26.88,70,18.816,3
dish_1550791884,apple,113,15.82,36,5.6952,3
dish_1550791884,broccoli,66,4.62,15,0.693,3
dish_1550791942,apple,113,15.82,36,5.6952,3
dish_1550791942,broccoli,66,4.62,15,0.693,3
dish_1550791942,white rice,96,26.88,70,18.816,3
dish_1550792023,apple,53,7.42,36,2.6712,1
dish_1550792143,bell peppers,56,5.04,15,0.756,1
dish_1550792194,cantaloupe,72,5.76,65,3.744,1
dish_1550792315,bell peppers,56,5.04,15,0.756,1
dish_1550792315,apple,53,7.42,36,2.6712,1
dish_1550792315,cantaloupe,72,5.76,65,3.744,1
dish_1550792365,bell peppers,56,5.04,15,0.756,1
dish_1550792365,apple,53,7.42,36,2.6712,1
dish_1550792365,cantaloupe,72,5.76,65,3.744,1
dish_1550792493,beef,35,0,0,0,1
dish_1550792595,potatoes,72,12.24,70,8.568,1
dish_1550792734,tomatoes,50,3.4,30,1.02,1
dish_1550792824,beef,35,0,0,0,1
dish_1550792824,tomatoes,50,3.4,30,1.02,1
dish_1550792824,potatoes,72,12.24,70,8.568,1
dish_1550792864,potatoes,72,12.24,70,8.568,1
dish_1550792864,beef,35,0,0,0,1
dish_1550792864,tomatoes,50,3.4,30,1.02,1
dish_1550793023,cantaloupe,79,6.32,65,4.108,1
dish_1550793093,white rice,71,19.88,70,13.916,2
dish_1550793192,apple,73,10.22,36,3.6792,1
dish_1550793245,apple,73,10.22,36,3.6792,3
dish_1550793245,cantaloupe,79,6.32,65,4.108,3
dish_1550793245,white rice,71,19.88,70,13.916,3
dish_1550793300,apple,73,10.22,36,3.6792,3
dish_1550793300,cantaloupe,79,6.32,65,4.108,3
dish_1550793300,white rice,71,19.88,70,13.916,3
dish_1550793485,beef,62,0,0,0,1
dish_1550793525,broccoli,87,6.09,15,0.9135,1
dish_1550793582,white rice,52,14.56,70,10.192,2
dish_1550793621,broccoli,87,6.09,15,0.9135,2
dish_1550793621,beef,62,0,0,0,2
dish_1550793621,white rice,52,14.56,70,10.192,2
dish_1550793673,broccoli,87,6.09,15,0.9135,2
dish_1550793673,beef,62,0,0,0,2
dish_1550793673,white rice,52,14.56,70,10.192,2
dish_1550795331,apple,282,39.48,36,14.2128,2
dish_1550795361,potatoes,71,12.07,70,8.449,1
dish_1550795423,bell peppers,42,3.78,15,0.567,1
dish_1550795455,apple,282,39.48,36,14.2128,3
dish_1550795455,potatoes,71,12.07,70,8.449,3
dish_1550795455,bell peppers,42,3.78,15,0.567,3
dish_1550795497,bell peppers,42,3.78,15,0.567,3
dish_1550795497,potatoes,71,12.07,70,8.449,3
dish_1550795497,apple,282,39.48,36,14.2128,3
dish_1550795690,apple,131,18.34,36,6.6024,1
dish_1550796058,berries,83,11.62,35,4.067,1
dish_1550796686,apple,60,8.4,36,3.024,1
dish_1550796731,cantaloupe,62,4.96,65,3.224,1
dish_1550796973,apple,87,12.18,36,4.3848,1
dish_1550797031,tomatoes,59,4.012,30,1.2036,1
dish_1550797094,broccoli,48,3.36,15,0.504,1
dish_1550797130,apple,87,12.18,36,4.3848,1
dish_1550797130,broccoli,48,3.36,15,0.504,1
dish_1550797130,tomatoes,59,4.012,30,1.2036,1
dish_1550797169,tomatoes,59,4.012,30,1.2036,1
dish_1550797169,apple,87,12.18,36,4.3848,1
dish_1550797169,broccoli,48,3.36,15,0.504,1
dish_1550797692,sausage,64,2.688,0,0,1
dish_1550797753,potatoes,69,11.73,70,8.211,1
dish_1550859356,sausage,58,2.436,0,0,1
dish_1550859396,potatoes,74,12.58,70,8.806,1
dish_1550859544,bacon,13,0.182,0,0,1
dish_1550859578,bacon,13,0.182,0,0,1
dish_1550859578,sausage,58,2.436,0,0,1
dish_1550859578,potatoes,74,12.58,70,8.806,1
dish_1550859622,sausage,58,2.436,0,0,1
dish_1550859622,potatoes,74,12.58,70,8.806,1
dish_1550859622,bacon,13,0.182,0,0,1
dish_1550859694,berries,59,8.26,35,2.891,1
dish_1550859927,scrambled eggs,82,1.312,0,0,1
dish_1550859977,oatmeal,83,9.96,60,5.976,1
dish_1550860041,berries,59,8.26,35,2.891,1
dish_1550860041,scrambled eggs,82,1.312,0,0,1
dish_1550860041,oatmeal,83,9.96,60,5.976,1
dish_1550860107,scrambled eggs,82,1.312,0,0,1
dish_1550860107,berries,59,8.26,35,2.891,1
dish_1550860107,oatmeal,83,9.96,60,5.976,1
dish_1550860188,oatmeal,128,15.36,60,9.216,1
dish_1550860307,bacon,8,0.112,0,0,1
dish_1550860361,potatoes,100,17,70,11.9,2
dish_1550860444,potatoes,100,17,70,11.9,3
dish_1550860444,oatmeal,128,15.36,60,9.216,3
dish_1550860444,bacon,8,0.112,0,0,3
dish_1550860513,oatmeal,128,15.36,60,9.216,3
dish_1550860513,bacon,8,0.112,0,0,3
dish_1550860513,potatoes,100,17,70,11.9,3
dish_1550860631,cantaloupe,74,5.92,65,3.848,1
dish_1550860747,pineapple,79,10.27,66,6.7782,1
dish_1550860787,scrambled eggs,75,1.2,0,0,1
dish_1550860820,pineapple,79,10.27,66,6.7782,2
dish_1550860820,cantaloupe,74,5.92,65,3.848,2
dish_1550860820,scrambled eggs,75,1.2,0,0,2
dish_1550860858,pineapple,79,10.27,66,6.7782,2
dish_1550860858,scrambled eggs,75,1.2,0,0,2
dish_1550860858,cantaloupe,74,5.92,65,3.848,2
dish_1550860919,berries,161,22.54,35,7.889,1
dish_1550861027,pineapple,42,5.46,66,3.6036,1
dish_1550861324,sausage,36,1.512,0,0,1
dish_1550861388,potatoes,43,7.31,70,5.117,1
dish_1550861432,berries,47,6.58,35,2.303,1
dish_1550861458,berries,47,6.58,35,2.303,1
dish_1550861458,sausage,36,1.512,0,0,1
dish_1550861458,potatoes,43,7.31,70,5.117,1
dish_1550861520,sausage,36,1.512,0,0,1
dish_1550861520,potatoes,43,7.31,70,5.117,1
dish_1550861520,berries,47,6.58,35,2.303,1
dish_1550861605,apple,142,19.88,36,7.1568,1
dish_1550861670,scrambled eggs,96,1.536,0,0,1
dish_1550861903,scrambled eggs,48,0.768,0,0,1
dish_1550861994,apple,28,3.92,36,1.4112,1
dish_1550862190,cantaloupe,84,6.72,65,4.368,1
dish_1550862272,berries,44,6.16,35,2.156,1
dish_1550862495,tomatoes,56,3.808,30,1.1424,1
dish_1550862648,apple,31,4.34,36,1.5624,1
dish_1550862840,pineapple,33,4.29,66,2.8314,1
dish_1550862908,berries,48,6.72,35,2.352,1
dish_1550863247,apple,33,4.62,36,1.6632,1
dish_1550873044,cantaloupe,135,10.8,65,7.02,1
dish_1550873218,avocado,39,3.51,10,0.351,1
dish_1550873264,chicken,59,0,0,0,1
dish_1550873303,chicken,59,0,0,0,1
dish_1550873303,cantaloupe,135,10.8,65,7.02,1
dish_1550873303,avocado,39,3.51,10,0.351,1
dish_1550873338,chicken,59,0,0,0,1
dish_1550873338,cantaloupe,135,10.8,65,7.02,1
dish_1550873338,avocado,39,3.51,10,0.351,1
dish_1550873434,chicken,138,0,0,0,1
dish_1550873486,cheese,36,0.468,0,0,1
dish_1550873572,avocado,29,2.61,10,0.261,1
dish_1550873668,avocado,29,2.61,10,0.261,1
dish_1550873668,chicken,138,0,0,0,1
dish_1550873668,cheese,36,0.468,0,0,1
dish_1550873788,chicken,138,0,0,0,1
dish_1550873788,cheese,36,0.468,0,0,1
dish_1550873788,avocado,29,2.61,10,0.261,1
dish_1550873952,tomatoes,49,3.332,30,0.9996,1
dish_1550874079,fish,78,0,0,0,1
dish_1550874153,carrot,13,1.3,30,0.39,1
dish_1550874191,tomatoes,49,3.332,30,0.9996,1
dish_1550874191,fish,78,0,0,0,1
dish_1550874191,carrot,13,1.3,30,0.39,1
dish_1550874267,carrot,13,1.3,30,0.39,1
dish_1550874267,fish,78,0,0,0,1
dish_1550874267,tomatoes,49,3.332,30,0.9996,1
dish_1550874464,fish,41,0,0,0,1
dish_1550874640,potatoes,46,7.82,70,5.474,1
dish_1550874679,tomatoes,40,2.72,30,0.816,1
dish_1550874729,potatoes,46,7.82,70,5.474,1
dish_1550874729,fish,41,0,0,0,1
dish_1550874729,tomatoes,40,2.72,30,0.816,1
dish_1550874756,fish,41,0,0,0,1
dish_1550874756,tomatoes,40,2.72,30,0.816,1
dish_1550874756,potatoes,46,7.82,70,5.474,1
dish_1550874829,avocado,26,2.34,10,0.234,1
dish_1550874872,potatoes,53,9.01,70,6.307,1
dish_1550874918,fish,62,0,0,0,1
dish_1550874950,avocado,26,2.34,10,0.234,1
dish_1550874950,fish,62,0,0,0,1
dish_1550874950,potatoes,53,9.01,70,6.307,1
dish_1550875058,potatoes,53,9.01,70,6.307,1
dish_1550875058,avocado,26,2.34,10,0.234,1
dish_1550875058,fish,62,0,0,0,1
dish_1550875168,fish,49,0,0,0,1
dish_1550875229,cantaloupe,84,6.72,65,4.368,1
dish_1550875293,cheese,36,0.468,0,0,1
dish_1550875347,cheese,36,0.468,0,0,1
dish_1550875347,fish,49,0,0,0,1
dish_1550875347,cantaloupe,84,6.72,65,4.368,1
dish_1550875400,fish,49,0,0,0,1
dish_1550875400,cantaloupe,84,6.72,65,4.368,1
