Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load
dish_1551224833,apple,252,35.28,36,12.7008
dish_1551303285,white rice,61,17.08,70,11.956
dish_1551304854,oatmeal,134,16.08,60,9.648
dish_1551305410,white rice,62,17.36,70,12.152
dish_1551316737,white rice,70,19.6,70,13.72
dish_1551317449,white rice,50,14,70,9.8
dish_1551322988,white rice,74,20.72,70,14.504
dish_1551323035,white rice,74,20.72,70,14.504
dish_1551323073,white rice,74,20.72,70,14.504
dish_1551374189,white rice,73,20.44,70,14.308
dish_1551375933,white rice,55,15.4,70,10.78
dish_1551381990,asparagus,3324,129.636,15,19.4454
dish_1551382149,asparagus,3324,129.636,15,19.4454
dish_1551382179,asparagus,3324,129.636,15,19.4454
dish_1551393069,white rice,63,17.64,70,12.348
dish_1551567508,olives,7974,502.362,15,75.3543
dish_1556575273,brussels sprouts,64,5.76,15,0.864
dish_1556575327,brussels sprouts,64,5.76,15,0.864
dish_1556575499,brussels sprouts,64,5.76,15,0.864
dish_1556575558,brussels sprouts,64,5.76,15,0.864
dish_1557853314,yam,93,27.342,70,19.139
dish_1557853314,yam,93,27.342,70,19.1394
dish_1557853429,strawberries,57,4.56,25,1.14
dish_1557853429,yam,93,27.342,70,19.139
dish_1557853429,yam,93,27.342,70,19.1394
dish_1557861837,eggplant,53,3.127,20,0.625
dish_1557936599,broccoli,63,4.41,15,0.662
dish_1557937037,raspberries,49,5.88,25,1.47
dish_1557937157,broccoli,63,4.41,15,0.662
dish_1557937157,strawberries,36,2.88,25,0.72
dish_1557937157,raspberries,49,5.88,25,1.47
dish_1557937335,yam,38,11.172,70,7.82
dish_1557937715,raspberries,39,4.68,25,1.17
dish_1557937758,raspberries,39,4.68,25,1.17
dish_1557937758,yam,38,11.172,70,7.82
dish_1558026623,honeydew melons,83,7.47,65,4.856
dish_1558026684,cantaloupe,71,5.68,65,3.692
dish_1558026756,cantaloupe,71,5.68,65,3.692
dish_1558026756,honeydew melons,83,7.47,65,4.856
dish_1558027057,yam,65,19.11,70,13.377
dish_1558027243,yam,65,19.11,70,13.377
dish_1558028194,potatoes,71,12.07,70,8.449
dish_1558028772,cantaloupe,61,4.88,65,3.172
dish_1558028772,honeydew melons,66,5.94,65,3.861
dish_1558029148,honeydew melons,108,9.72,65,6.318
dish_1558029230,potatoes,115,19.55,70,13.685
dish_1558029324,honeydew melons,108,9.72,65,6.318
dish_1558029324,potatoes,115,19.55,70,13.685
dish_1558029518,yam,111,32.634,70,22.8438
dish_1558029518,yam,111,32.634,70,22.844
dish_1558029842,cantaloupe,67,5.36,65,3.484
dish_1558029923,cantaloupe,67,5.36,65,3.484
dish_1558029923,yam,111,32.634,70,22.8438
dish_1558029923,yam,111,32.634,70,22.844
dish_1558030182,potatoes,88,14.96,70,10.472
dish_1558030435,honeydew melons,107,9.63,65,6.26
dish_1558030435,potatoes,88,14.96,70,10.472
dish_1558030832,yam,72,21.168,70,14.8176
dish_1558031019,honeydew melons,49,4.41,65,2.867
dish_1558031019,yam,72,21.168,70,14.818
dish_1558031133,yam,110,32.34,70,22.638
dish_1558031394,cantaloupe,93,7.44,65,4.836
dish_1558031394,potatoes,74,12.58,70,8.806
dish_1558031394,yam,110,32.34,70,22.638
dish_1558031526,yam,62,18.228,70,12.7596
dish_1558031675,cantaloupe,92,7.36,65,4.784
dish_1558031675,yam,62,18.228,70,12.7596
dish_1558031675,yam,62,18.228,70,12.76
dish_1558109864,almonds,37,8.399,15,1.26
dish_1558109907,grapes,63,11.34,56,6.35
dish_1558110436,yam,69,20.286,70,14.2002
dish_1558110478,berries,51,7.14,35,2.499
dish_1558110478,yam,69,20.286,70,14.2
dish_1558110478,yam,69,20.286,70,14.2002
dish_1558113255,cantaloupe,90,7.2,65,4.68
dish_1558113304,almonds,31,7.037,15,1.056
dish_1558113304,cantaloupe,90,7.2,65,4.68
dish_1558113304,grapes,54,9.72,56,5.443
dish_1558113477,almonds,50,11.35,15,1.703
dish_1558113941,almonds,50,11.35,15,1.703
dish_1558114145,grapes,83,14.94,56,8.366
dish_1558114209,cantaloupe,90,7.2,65,4.68
dish_1558114284,cantaloupe,90,7.2,65,4.68
dish_1558114284,grapes,83,14.94,56,8.366
dish_1558114523,almonds,18,4.086,15,0.613
dish_1558114569,grapes,39,7.02,56,3.931
dish_1558114609,almonds,18,4.086,15,0.613
dish_1558114609,grapes,39,7.02,56,3.931
dish_1558115047,almonds,20,4.54,15,0.681
dish_1558115241,potatoes,111,18.87,70,13.209
dish_1558115364,almonds,30,6.81,15,1.021
dish_1558115364,potatoes,111,18.87,70,13.209
dish_1558115448,grapes,94,16.92,56,9.4752
dish_1558115601,potatoes,111,18.87,70,13.209
dish_1558115641,grapes,94,16.92,56,9.475
dish_1558115641,grapes,94,16.92,56,9.4752
dish_1558115641,potatoes,111,18.87,70,13.209
dish_1558116001,almonds,23,5.221,15,0.783
dish_1558116001,potatoes,51,8.67,70,6.069
dish_1558116001,grapes,62,11.16,56,6.25
dish_1558116146,grapes,111,19.98,56,11.1888
dish_1558116146,grapes,111,19.98,56,11.189
dish_1558116298,almonds,75,17.025,15,2.554
dish_1558116298,cantaloupe,91,7.28,65,4.732
dish_1558116298,grapes,111,19.98,56,11.1888
dish_1558116298,grapes,111,19.98,56,11.189
dish_1558122740,grapes,57,10.26,56,5.746
dish_1558122740,potatoes,61,10.37,70,7.259
dish_1558372771,almonds,42,9.534,15,1.43
dish_1558372771,grapes,83,14.94,56,8.366
dish_1558373352,grapes,100,18,56,10.08
dish_1558373492,grapes,100,18,56,10.08
dish_1558375886,almonds,119,27.013,15,4.052
dish_1558375886,grapes,66,11.88,56,6.653
dish_1558376483,almonds,52,11.804,15,1.771
dish_1558376483,cantaloupe,39,3.12,65,2.028
dish_1558376483,grapes,71,12.78,56,7.157
dish_1558376984,almonds,58,13.166,15,1.975
dish_1558376984,grapes,74,13.32,56,7.459
dish_1558378516,grapes,134,24.12,56,13.5072
dish_1558378634,grapes,134,24.12,56,13.5072
dish_1558379391,almonds,56,12.712,15,1.907
dish_1558379391,cantaloupe,48,3.84,65,2.496
dish_1558379391,grapes,53,9.54,56,5.342
dish_1558379876,almonds,119,27.013,15,4.052
dish_1558380014,grapes,134,24.12,56,13.5072
dish_1558380181,almonds,36,8.172,15,1.226
dish_1558380181,grapes,134,24.12,56,13.507
dish_1558380557,almonds,48,10.896,15,1.634
dish_1558380557,grapes,52,9.36,56,5.242
dish_1558381206,almonds,20,4.54,15,0.681
dish_1558381206,grapes,53,9.54,56,5.342
dish_1558381708,green beans,53,3.71,30,1.113
dish_1558382263,olives,68,4.284,15,0.643
dish_1558382263,green beans,53,3.71,30,1.113
dish_1558382263,tomatoes,65,4.42,30,1.326
dish_1558457415,sweet potato,80,14.4,70,10.08
dish_1558457665,sweet potato,80,14.4,70,10.08
dish_1558458584,almonds,51,11.577,15,1.737
dish_1558458584,grapes,77,13.86,56,7.762
dish_1558459115,almonds,20,4.54,15,0.681
dish_1558459115,cherry tomatoes,61,2.379,30,0.714
dish_1558459115,grapes,42,7.56,56,4.234
dish_1558459115,white rice,32,8.96,70,6.272
dish_1558459115,apple,143,20.02,36,7.207
dish_1558459276,white rice,79,22.12,70,15.484
dish_1558459528,cherry tomatoes,64,2.496,30,0.749
dish_1558459664,cherry tomatoes,64,2.496,30,0.749
dish_1558459664,almonds,36,8.172,15,1.226
dish_1558459664,grapes,85,15.3,56,8.568
dish_1558459664,white rice,79,22.12,70,15.484
dish_1558460908,cherry tomatoes,56,2.184,30,0.655
dish_1558460908,apple,142,19.88,36,7.157
dish_1558460908,grapes,96,17.28,56,9.6768
dish_1558460908,grapes,96,17.28,56,9.677
dish_1558461607,grapes,127,22.86,56,12.8016
dish_1558461792,cherry tomatoes,61,2.379,30,0.714
dish_1558461792,almonds,40,9.08,15,1.362
dish_1558461792,grapes,127,22.86,56,12.8016
dish_1558461792,grapes,127,22.86,56,12.802
dish_1558468435,broccoli,80,5.6,15,0.84
dish_1558544482,berries,67,9.38,35,3.283
dish_1558544663,oatmeal,208,24.96,60,14.976
dish_1558544870,berries,67,9.38,35,3.283
dish_1558546918,white rice,54,15.12,70,10.584
dish_1558547008,potatoes,96,16.32,70,11.424
dish_1558547205,almonds,25,5.675,15,0.851
dish_1558547205,white rice,54,15.12,70,10.584
dish_1558547205,white rice,54,15.12,70,10.584
dish_1558547205,potatoes,96,16.32,70,11.424
dish_1558548666,white rice,75,21,70,14.7
dish_1558549008,cherry tomatoes,115,4.485,30,1.346
dish_1558549086,potatoes,95,16.15,70,11.305
dish_1558549214,cherry tomatoes,115,4.485,30,1.346
dish_1558549214,grapes,66,11.88,56,6.653
dish_1558549214,potatoes,95,16.15,70,11.305
dish_1558549214,white rice,75,21,70,14.7
dish_1558549605,white rice,75,21,70,14.7
dish_1558549806,almonds,118,26.786,15,4.018
dish_1558549806,white rice,75,21,70,14.7
dish_1558550218,almonds,22,4.994,15,0.749
dish_1558550218,grapes,42,7.56,56,4.234
dish_1558550218,apple,142,19.88,36,7.157
dish_1558628515,berries,56,7.84,35,2.744
dish_1558628711,yam,64.5,18.963,70,13.2741
dish_1558628760,berries,56,7.84,35,2.744
dish_1558628760,sweet potato,64.5,11.61,70,8.127
dish_1558628760,yam,64.5,18.963,70,13.274
dish_1558628760,yam,64.5,18.963,70,13.2741
dish_1558628921,carrot,60,6,30,1.8
dish_1558629013,strawberries,80,6.4,25,1.6
dish_1558629041,strawberries,80,6.4,25,1.6
dish_1558629041,carrot,60,6,30,1.8
dish_1558629517,tomatoes,64,4.352,30,1.306
dish_1558629517,almonds,39,8.853,15,1.328
dish_1558629578,cauliflower,90,4.5,15,0.675
dish_1558629715,cauliflower,90,4.5,15,0.675
dish_1558629715,apple,142,19.88,36,7.157
dish_1558630325,almonds,116,26.332,15,3.95
dish_1558630325,apple,142,19.88,36,7.157
dish_1558630450,grapes,125,22.5,56,12.6
dish_1558630649,cantaloupe,88,7.04,65,4.576
dish_1558630649,apple,142,19.88,36,7.157
dish_1558630649,grapes,125,22.5,56,12.6
dish_1558630932,cauliflower,89,4.45,15,0.668
dish_1558630932,almonds,34,7.718,15,1.158
dish_1558630932,apple,142,19.88,36,7.157
dish_1558631825,corn on the cob,112,24.64,48,11.827
dish_1558631825,corn on the cob,112,24.64,48,11.8272
dish_1558631932,corn on the cob,112,24.64,48,11.8272
dish_1558632233,cantaloupe,99,7.92,65,5.148
dish_1558632233,corn on the cob,68,14.96,48,7.181
dish_1558632475,corn on the cob,112,24.64,48,11.8272
dish_1558633221,cauliflower,101,5.05,15,0.758
dish_1558633221,cherry tomatoes,89,3.471,30,1.041
dish_1558633221,corn on the cob,19,4.18,48,2.006
dish_1558633221,carrot,85,8.5,30,2.55
dish_1558633221,apple,155,21.7,36,7.812
dish_1558635618,cauliflower,100,5,15,0.75
dish_1558635618,apple,117,16.38,36,5.897
dish_1558635618,corn on the cob,74,16.28,48,7.814
dish_1558635618,white rice,43,12.04,70,8.428
dish_1558635994,grapes,136,24.48,56,13.7088
dish_1558636028,corn on the cob,19,4.18,48,2.006
dish_1558636028,cantaloupe,98,7.84,65,5.096
dish_1558636028,grapes,136,24.48,56,13.7088
dish_1558636028,grapes,136,24.48,56,13.709
dish_1558636582,cauliflower,96,4.8,15,0.72
dish_1558636582,cherry tomatoes,89,3.471,30,1.041
dish_1558636582,almonds,71,16.117,15,2.418
dish_1558636582,apple,154,21.56,36,7.762
dish_1558636928,cherry tomatoes,89,3.471,30,1.041
dish_1558636980,cherry tomatoes,89,3.471,30,1.041
dish_1558636980,carrot,95,9.5,30,2.85
dish_1558636980,apple,117,16.38,36,5.897
dish_1558636980,grapes,88,15.84,56,8.87
dish_1558637247,corn on the cob,111,24.42,48,11.7216
dish_1558637423,grapes,16,2.88,56,1.613
dish_1558637423,almonds,128,29.056,15,4.358
dish_1558637423,apple,154,21.56,36,7.762
dish_1558637423,corn on the cob,111,24.42,48,11.7216
dish_1558637423,corn on the cob,111,24.42,48,11.722
dish_1558637896,grapes,123,22.14,56,12.3984
dish_1558637932,corn on the cob,67,14.74,48,7.075
dish_1558637932,apple,154,21.56,36,7.762
dish_1558637932,grapes,123,22.14,56,12.398
dish_1558637932,grapes,123,22.14,56,12.3984
dish_1558638163,carrot,99,9.9,30,2.97
dish_1558638292,carrot,99,9.9,30,2.97
dish_1558638292,cantaloupe,97,7.76,65,5.044
dish_1558638292,apple,117,16.38,36,5.897
dish_1558638292,white rice,43,12.04,70,8.428
dish_1558638954,grapes,129,23.22,56,13.0032
dish_1558639012,grapes,129,23.22,56,13.0032
dish_1558639045,corn on the cob,110,24.2,48,11.616
dish_1558639195,carrot,54,5.4,30,1.62
dish_1558639195,grapes,28,5.04,56,2.822
dish_1558639195,apple,154,21.56,36,7.762
dish_1558639195,corn on the cob,110,24.2,48,11.616
dish_1558639362,cauliflower,98,4.9,15,0.735
dish_1558639362,carrot,99,9.9,30,2.97
dish_1558639362,corn on the cob,29,6.38,48,3.062
dish_1558639362,apple,116,16.24,36,5.846
dish_1558639555,carrot,78,7.8,30,2.34
dish_1558639555,corn on the cob,29,6.38,48,3.062
dish_1558639555,cantaloupe,97,7.76,65,5.044
dish_1558639555,apple,116,16.24,36,5.846
dish_1558639630,corn on the cob,110,24.2,48,11.616
dish_1558639752,almonds,21,4.767,15,0.715
dish_1558639752,cherry tomatoes,89,3.471,30,1.041
dish_1558639752,corn on the cob,110,24.2,48,11.616
dish_1558639876,cauliflower,99,4.95,15,0.743
dish_1558639876,carrot,57,5.7,30,1.71
dish_1558639876,cantaloupe,59,4.72,65,3.068
dish_1558640008,cherry tomatoes,58,2.262,30,0.679
dish_1558640008,almonds,90,20.43,15,3.065
dish_1558640008,cantaloupe,64,5.12,65,3.328
dish_1558640145,carrot,98,9.8,30,2.94
dish_1558640145,apple,116,16.24,36,5.846
dish_1558640145,corn on the cob,73,16.06,48,7.709
dish_1558640294,cherry tomatoes,126,4.914,30,1.474
dish_1558640294,cantaloupe,58,4.64,65,3.016
dish_1558640373,cherry tomatoes,126,4.914,30,1.474
dish_1558640373,cantaloupe,58,4.64,65,3.016
dish_1558640373,grapes,92,16.56,56,9.274
dish_1558640513,carrot,35,3.5,30,1.05
dish_1558640513,corn on the cob,56,12.32,48,5.914
dish_1558640513,apple,154,21.56,36,7.762
dish_1558640705,cantaloupe,95,7.6,65,4.94
dish_1558640705,apple,116,16.24,36,5.846
dish_1558640849,carrot,26,2.6,30,0.78
dish_1558640849,apple,154,21.56,36,7.762
dish_1558640979,carrot,53,5.3,30,1.59
dish_1558640979,cantaloupe,95,7.6,65,4.94
dish_1558641253,corn on the cob,110,24.2,48,11.616
dish_1558641320,cherry tomatoes,64,2.496,30,0.749
dish_1558641320,apple,154,21.56,36,7.762
dish_1558641320,corn on the cob,110,24.2,48,11.616
dish_1558641442,cauliflower,97,4.85,15,0.728
dish_1558641442,cantaloupe,58,4.64,65,3.016
dish_1558641442,corn on the cob,56,12.32,48,5.914
dish_1558641897,corn on the cob,110,24.2,48,11.616
dish_1558642021,corn on the cob,110,24.2,48,11.616
dish_1558642490,cauliflower,92,4.6,15,0.69
dish_1558642490,carrot,95,9.5,30,2.85
dish_1558717969,corn on the cob,90,19.8,48,9.504
dish_1558718088,corn on the cob,90,19.8,48,9.504
dish_1558718610,corn on the cob,107,23.54,48,11.2992
dish_1558718906,almonds,23,5.221,15,0.783
dish_1558718906,cantaloupe,76,6.08,65,3.952
dish_1558718906,corn on the cob,107,23.54,48,11.299
dish_1558718906,corn on the cob,107,23.54,48,11.2992
dish_1558719145,cherry tomatoes,107,4.173,30,1.252
dish_1558719145,almonds,73,16.571,15,2.486
dish_1558719145,cantaloupe,94,7.52,65,4.888
dish_1558719145,apple,142,19.88,36,7.157
dish_1558719298,almonds,46,10.442,15,1.566
dish_1558719514,cauliflower,97,4.85,15,0.728
dish_1558719514,cherry tomatoes,96,3.744,30,1.123
dish_1558719514,almonds,46,10.442,15,1.566
dish_1558719514,corn on the cob,49,10.78,48,5.174
dish_1558719514,apple,142,19.88,36,7.157
dish_1558720236,carrot,74,7.4,30,2.22
dish_1558720236,almonds,133,30.191,15,4.529
dish_1558720236,apple,143,20.02,36,7.207
dish_1558720396,corn on the cob,90,19.8,48,9.504
dish_1558720427,corn on the cob,90,19.8,48,9.504
dish_1558721380,cherry tomatoes,107,4.173,30,1.252
dish_1558721587,corn on the cob,90,19.8,48,9.504
dish_1558721636,cherry tomatoes,62,2.418,30,0.725
dish_1558721636,carrot,92,9.2,30,2.76
dish_1558721636,cantaloupe,55,4.4,65,2.86
dish_1558721636,corn on the cob,90,19.8,48,9.504
dish_1558721827,cauliflower,97,4.85,15,0.728
dish_1558721827,cantaloupe,56,4.48,65,2.912
dish_1558721827,almonds,133,30.191,15,4.529
dish_1558721827,apple,143,20.02,36,7.207
dish_1558722103,cherry tomatoes,62,2.418,30,0.725
dish_1558722103,almonds,31,7.037,15,1.056
dish_1558722103,cantaloupe,79,6.32,65,4.108
dish_1558722103,apple,143,20.02,36,7.207
dish_1558722125,almonds,86,19.522,15,2.928
dish_1558722247,cauliflower,97,4.85,15,0.728
dish_1558722247,almonds,86,19.522,15,2.928
dish_1558722247,apple,160,22.4,36,8.064
dish_1558722473,carrot,92,9.2,30,2.76
dish_1558722473,apple,161,22.54,36,8.114
dish_1558722685,cantaloupe,76,6.08,65,3.952
dish_1558722707,cherry tomatoes,107,4.173,30,1.252
dish_1558722780,cherry tomatoes,107,4.173,30,1.252
dish_1558722780,carrot,75,7.5,30,2.25
dish_1558722780,cantaloupe,76,6.08,65,3.952
dish_1558722780,corn on the cob,49,10.78,48,5.174
dish_1558722906,corn on the cob,90,19.8,48,9.504
dish_1558722968,cherry tomatoes,58,2.262,30,0.679
dish_1558722968,almonds,76,17.252,15,2.588
dish_1558722968,corn on the cob,90,19.8,48,9.504
dish_1558723073,cherry tomatoes,90,3.51,30,1.053
dish_1558723449,apple,143,20.02,36,7.207
dish_1558723512,carrot,39,3.9,30,1.17
dish_1558723568,carrot,39,3.9,30,1.17
dish_1558723568,cantaloupe,67,5.36,65,3.484
dish_1558723568,corn on the cob,49,10.78,48,5.174
dish_1558723568,apple,143,20.02,36,7.207
dish_1558723695,corn on the cob,90,19.8,48,9.504
dish_1558723742,corn on the cob,90,19.8,48,9.504
dish_1558723818,corn on the cob,107,23.54,48,11.2992
dish_1558723894,almonds,96,21.792,15,3.269
dish_1558723894,apple,143,20.02,36,7.207
dish_1558723894,corn on the cob,107,23.54,48,11.299
dish_1558723894,corn on the cob,107,23.54,48,11.2992
dish_1558724031,cherry tomatoes,107,4.173,30,1.252
dish_1558724031,almonds,51,11.577,15,1.737
dish_1558724031,cantaloupe,93,7.44,65,4.836
dish_1558724574,brussels sprouts,118,10.62,15,1.593
dish_1558724607,honeydew melons,152,13.68,65,8.892
dish_1558724633,broccoli,94,6.58,15,0.987
dish_1558724658,broccoli,94,6.58,15,0.987
dish_1558724658,brussels sprouts,118,10.62,15,1.593
dish_1558724658,honeydew melons,152,13.68,65,8.892
dish_1558724799,broccoli,112,7.84,15,1.176
dish_1558724799,apple,161,22.54,36,8.114
dish_1558724959,brussels sprouts,118,10.62,15,1.593
dish_1558724959,carrot,75,7.5,30,2.25
dish_1558724959,almonds,72,16.344,15,2.452
dish_1558724959,apple,161,22.54,36,8.114
dish_1558725112,brussels sprouts,100,9,15,1.35
dish_1558725112,almonds,79,17.933,15,2.69
dish_1558725112,honeydew melons,151,13.59,65,8.834
dish_1558725786,corn on the cob,107,23.54,48,11.2992
dish_1558725829,corn on the cob,107,23.54,48,11.2992
dish_1559059992,sweet potato,94,16.92,70,11.844
dish_1559060106,strawberries,81,6.48,25,1.62
dish_1559060106,sweet potato,94,16.92,70,11.844
dish_1559062051,sweet potato,74,13.32,70,9.324
dish_1559062082,watermelon,83,6.308,75,4.731
dish_1559062082,sweet potato,74,13.32,70,9.324
dish_1559149719,carrot,64,6.4,30,1.92
dish_1559158354,broccoli,60,4.2,15,0.63
dish_1559233570,strawberries,51,4.08,25,1.02
dish_1559233715,sweet potato,110,19.8,70,13.86
dish_1559233756,strawberries,51,4.08,25,1.02
dish_1559233756,pineapple,49,6.37,66,4.204
dish_1559233756,sweet potato,110,19.8,70,13.86
dish_1559235639,strawberries,103,8.24,25,2.06
dish_1559235771,bagels,43.200001,21.16800049,69,14.60592034
dish_1559235771,bagels,43.200001,21.16800049,69,14.606
dish_1559235815,strawberries,103,8.24,25,2.06
dish_1559235815,bagels,43.200001,21.16800049,69,14.60592034
dish_1559235815,bagels,43.200001,21.16800049,69,14.606
dish_1559238566,berries,109,15.26,35,5.341
dish_1559243974,carrot,52.24892,5.224892,30,1.567
dish_1559243974,almonds,50,11.35,15,1.703
dish_1559243974,pears,203,30.856,30,9.257
dish_1559244598,cookies,51,33.15,70,23.205
dish_1559319971,sweet potato,96,17.28,70,12.096
dish_1559320019,sweet potato,96,17.28,70,12.096
dish_1559578579,strawberries,55,4.4,25,1.1
dish_1559578599,sweet potato,115,20.7,70,14.49
dish_1559581356,broccoli,60,4.2,15,0.63
dish_1559589942,pizza,103,33.99,80,27.192
dish_1559590202,couscous,77,17.71,60,10.626
dish_1559593794,quinoa,20.438606,4.29210726,35,1.502
dish_1559667948,bagels,45.600002,22.34400098,69,15.417
dish_1559667948,bagels,45.600002,22.34400098,69,15.41736068
dish_1559667973,bagels,45.600002,22.34400098,69,15.41736068
dish_1559674074,pizza,53,17.49,80,13.992
dish_1559674074,pizza,53,17.49,80,13.992
dish_1559674689,honeydew melons,177,15.93,65,10.3545
dish_1559674781,grapes,26,4.68,56,2.621
dish_1559674781,honeydew melons,177,15.93,65,10.3545
dish_1559674781,honeydew melons,177,15.93,65,10.355
dish_1559674866,grapes,26,4.68,56,2.621
dish_1559674866,honeydew melons,177,15.93,65,10.3545
dish_1559674866,honeydew melons,177,15.93,65,10.355
dish_1559675268,cherry tomatoes,55,2.145,30,0.644
dish_1559678457,broccoli,65,4.55,15,0.683
dish_1559678457,millet,17.410118,4.126197966,70,2.888
dish_1559678457,wheat berry,79,15.089,30,4.527
dish_1559678651,white rice,9.838586,2.75480408,70,1.928
dish_1559751458,yam,123,36.162,70,25.3134
dish_1559751552,berries,131,18.34,35,6.419
dish_1559751552,yam,123,36.162,70,25.313
dish_1559751552,yam,123,36.162,70,25.3134
dish_1559751775,yam,66,19.404,70,13.5828
dish_1559751801,berries,66,9.24,35,3.234
dish_1559751801,yam,66,19.404,70,13.5828
dish_1559751801,yam,66,19.404,70,13.583
dish_1559838402,berries,106,14.84,35,5.194
dish_1559838402,sweet potato,59.5,10.71,70,7.497
dish_1559838402,yam,59.5,17.493,70,12.245
dish_1559838402,yam,59.5,17.493,70,12.2451
dish_1559841127,blackberries,53,4.876,25,1.219
dish_1559841127,sweet potato,33.5,6.03,70,4.221
dish_1559841127,yam,33.5,9.849,70,6.894
dish_1559841571,cereal,5,3.65,70,2.555
dish_1559841781,cereal,5,3.65,70,2.555
dish_1559841781,grapes,38,6.84,56,3.83
dish_1559841808,cereal,5,3.65,70,2.555
dish_1559841808,mandarin oranges,53,6.89,47,3.238
dish_1559841808,grapes,38,6.84,56,3.83
dish_1559841908,grapes,71,12.78,56,7.157
dish_1559841908,pears,201,30.552,30,9.166
dish_1559842047,mandarin oranges,53,6.89,47,3.238
dish_1559842047,pears,200,30.4,30,9.12
dish_1559842409,strawberries,42,3.36,25,0.84
dish_1559842409,almonds,53,12.031,15,1.805
dish_1559842409,mandarin oranges,53,6.89,47,3.238
dish_1559843222,strawberries,77,6.16,25,1.54
dish_1559843222,mandarin oranges,53,6.89,47,3.238
dish_1559843222,grapes,68,12.24,56,6.854
dish_1559843690,strawberries,77,6.16,25,1.54
dish_1559843690,potatoes,39,6.63,70,4.641
dish_1559843715,strawberries,77,6.16,25,1.54
dish_1559843715,potatoes,39,6.63,70,4.641
dish_1559843715,pears,200,30.4,30,9.12
dish_1559844090,strawberries,77,6.16,25,1.54
dish_1559844090,mandarin oranges,54,7.02,47,3.299
dish_1559844090,pears,200,30.4,30,9.12
dish_1559844113,almonds,25,5.675,15,0.851
dish_1559844113,strawberries,77,6.16,25,1.54
dish_1559844113,mandarin oranges,54,7.02,47,3.299
dish_1559844113,pears,200,30.4,30,9.12
dish_1559844366,almonds,80,18.16,15,2.724
dish_1559844366,grapes,81,14.58,56,8.165
dish_1559844506,strawberries,47,3.76,25,0.94
dish_1559844506,mandarin oranges,52,6.76,47,3.177
dish_1559844506,grapes,81,14.58,56,8.165
dish_1559844657,grapes,81,14.58,56,8.165
dish_1559844657,potatoes,86,14.62,70,10.234
dish_1559844683,grapes,81,14.58,56,8.165
dish_1559844683,potatoes,86,14.62,70,10.234
dish_1559844928,potatoes,86,14.62,70,10.234
dish_1559844951,potatoes,86,14.62,70,10.234
dish_1559845018,almonds,36,8.172,15,1.226
dish_1559845018,mandarin oranges,53,6.89,47,3.238
dish_1559845018,potatoes,86,14.62,70,10.234
dish_1559845046,almonds,36,8.172,15,1.226
dish_1559845046,mandarin oranges,53,6.89,47,3.238
dish_1559845046,potatoes,86,14.62,70,10.234
dish_1559845290,potatoes,86,14.62,70,10.234
dish_1559845370,potatoes,86,14.62,70,10.234
dish_1559845399,potatoes,86,14.62,70,10.234
dish_1559845513,strawberries,39,3.12,25,0.78
dish_1559845513,mandarin oranges,53,6.89,47,3.238
dish_1559845513,pears,201,30.552,30,9.166
dish_1559845513,potatoes,86,14.62,70,10.234
